owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
Organization,https://api.github.com/users/30-seconds,https://github.com/30-seconds,https://github.com/30-seconds/30-seconds-of-code,https://api.github.com/repos/30-seconds/30-seconds-of-code,False,2017-11-29T17:35:03Z,2019-06-25T14:17:21Z,19334,46225,JavaScript,True,True,5221,5221,7,46225,,,
User,https://api.github.com/users/Snailclimb,https://github.com/Snailclimb,https://github.com/Snailclimb/JavaGuide,https://api.github.com/repos/Snailclimb/JavaGuide,False,2018-05-07T13:27:00Z,2019-06-25T15:10:21Z,2302,45846,Java,True,True,14724,14724,27,45846,,,
Organization,https://api.github.com/users/Semantic-Org,https://github.com/Semantic-Org,https://github.com/Semantic-Org/Semantic-UI,https://api.github.com/repos/Semantic-Org/Semantic-UI,False,2013-04-08T23:32:04Z,2019-06-25T09:30:05Z,111123,45783,JavaScript,True,True,4830,4830,908,45783,,,
User,https://api.github.com/users/danistefanovic,https://github.com/danistefanovic,https://github.com/danistefanovic/build-your-own-x,https://api.github.com/repos/danistefanovic/build-your-own-x,False,2018-05-09T12:03:18Z,2019-06-25T14:48:44Z,821,45763,,True,False,3108,3108,21,45763,,,
User,https://api.github.com/users/avelino,https://github.com/avelino,https://github.com/avelino/awesome-go,https://api.github.com/repos/avelino/awesome-go,False,2014-07-06T13:42:15Z,2019-06-25T15:00:39Z,5917,45242,Go,True,False,5929,5929,33,45242,,,
Organization,https://api.github.com/users/pallets,https://github.com/pallets,https://github.com/pallets/flask,https://api.github.com/repos/pallets/flask,False,2010-04-06T11:11:59Z,2019-06-25T14:40:48Z,7133,44942,Python,True,False,12625,12625,21,44942,,,
User,https://api.github.com/users/nvbn,https://github.com/nvbn,https://github.com/nvbn/thefuck,https://api.github.com/repos/nvbn/thefuck,False,2015-04-08T15:08:04Z,2019-06-25T14:28:44Z,2710,44433,Python,True,True,2216,2216,166,44433,,,
Organization,https://api.github.com/users/expressjs,https://github.com/expressjs,https://github.com/expressjs/express,https://api.github.com/repos/expressjs/express,False,2009-06-26T18:56:01Z,2019-06-25T14:26:02Z,8848,44409,JavaScript,True,True,7456,7456,164,44409,,,
User,https://api.github.com/users/jackfrued,https://github.com/jackfrued,https://github.com/jackfrued/Python-100-Days,https://api.github.com/repos/jackfrued/Python-100-Days,False,2018-03-01T16:05:52Z,2019-06-25T15:10:21Z,175241,44291,Jupyter Notebook,True,True,15945,15945,134,44291,,,
Organization,https://api.github.com/users/chartjs,https://github.com/chartjs,https://github.com/chartjs/Chart.js,https://api.github.com/repos/chartjs/Chart.js,False,2013-03-17T23:56:36Z,2019-06-25T14:57:10Z,14477,44075,JavaScript,True,False,9678,9678,444,44075,,,
Organization,https://api.github.com/users/rails,https://github.com/rails,https://github.com/rails/rails,https://api.github.com/repos/rails/rails,False,2008-04-11T02:19:47Z,2019-06-25T14:46:30Z,188999,43452,Ruby,True,False,17473,17473,1165,43452,,,
Organization,https://api.github.com/users/getlantern,https://github.com/getlantern,https://github.com/getlantern/lantern,https://api.github.com/repos/getlantern/lantern,False,2011-02-17T22:12:29Z,2019-06-25T14:53:53Z,1151819,43020,Go,False,True,9361,9361,2534,43020,,,
