id,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
137147386,User,https://api.github.com/users/dylanaraps,https://github.com/dylanaraps,https://github.com/dylanaraps/pure-bash-bible,https://api.github.com/repos/dylanaraps/pure-bash-bible,False,2018-06-13T01:39:33Z,2019-07-02T16:30:57Z,206,12925,Shell,True,False,880,880,20,12925,,,
11892946,User,https://api.github.com/users/uglide,https://github.com/uglide,https://github.com/uglide/RedisDesktopManager,https://api.github.com/repos/uglide/RedisDesktopManager,False,2013-08-05T07:51:08Z,2019-07-02T13:45:47Z,75069,12920,C++,True,False,2116,2116,36,12920,,,
28723659,User,https://api.github.com/users/ChristosChristofidis,https://github.com/ChristosChristofidis,https://github.com/ChristosChristofidis/awesome-deep-learning,https://api.github.com/repos/ChristosChristofidis/awesome-deep-learning,False,2015-01-02T19:28:35Z,2019-07-02T15:36:13Z,296,12918,,True,True,4083,4083,21,12918,,,
33884891,Organization,https://api.github.com/users/apache,https://github.com/apache,https://github.com/apache/airflow,https://api.github.com/repos/apache/airflow,False,2015-04-13T18:04:58Z,2019-07-02T16:23:12Z,38126,12877,Python,False,False,4675,4675,298,12877,,,
31865176,User,https://api.github.com/users/lgvalle,https://github.com/lgvalle,https://github.com/lgvalle/Material-Animations,https://api.github.com/repos/lgvalle/Material-Animations,False,2015-03-08T20:54:00Z,2019-07-02T15:34:15Z,8692,12864,Java,True,True,2524,2524,19,12864,,,
817345,User,https://api.github.com/users/tj,https://github.com/tj,https://github.com/tj/git-extras,https://api.github.com/repos/tj/git-extras,False,2010-08-04T16:32:07Z,2019-07-02T09:44:59Z,1342,12856,Shell,True,True,968,968,109,12856,,,
184460,Organization,https://api.github.com/users/celery,https://github.com/celery,https://github.com/celery/celery,https://api.github.com/repos/celery/celery,False,2009-04-24T11:31:24Z,2019-07-02T16:06:31Z,28852,12844,Python,True,True,3323,3323,370,12844,,,
24420506,Organization,https://api.github.com/users/v8,https://github.com/v8,https://github.com/v8/v8,https://api.github.com/repos/v8/v8,False,2014-09-24T15:24:30Z,2019-07-02T16:31:18Z,848902,12840,C++,False,True,2516,2516,2,12840,,,
14812739,Organization,https://api.github.com/users/libuv,https://github.com/libuv,https://github.com/libuv/libuv,https://api.github.com/repos/libuv/libuv,False,2013-11-30T00:29:56Z,2019-07-02T15:46:31Z,14285,12828,C,True,True,2072,2072,212,12828,,,
106017343,Organization,https://api.github.com/users/tailwindcss,https://github.com/tailwindcss,https://github.com/tailwindcss/tailwindcss,https://api.github.com/repos/tailwindcss/tailwindcss,False,2017-10-06T14:59:14Z,2019-07-02T16:19:13Z,5934,12826,CSS,True,True,577,577,34,12826,,,
41766002,Organization,https://api.github.com/users/ampproject,https://github.com/ampproject,https://github.com/ampproject/amphtml,https://api.github.com/repos/ampproject/amphtml,False,2015-09-01T22:10:53Z,2019-07-02T16:32:13Z,639867,12818,JavaScript,True,False,3024,3024,1557,12818,,,
20106153,User,https://api.github.com/users/CoderMJLee,https://github.com/CoderMJLee,https://github.com/CoderMJLee/MJRefresh,https://api.github.com/repos/CoderMJLee/MJRefresh,False,2014-05-23T16:22:32Z,2019-07-02T16:00:36Z,14170,12813,Objective-C,True,True,3453,3453,100,12813,,,
107595270,Organization,https://api.github.com/users/matterport,https://github.com/matterport,https://github.com/matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,False,2017-10-19T20:28:34Z,2019-07-02T16:16:51Z,122597,12790,Python,True,True,5667,5667,982,12790,,,
2336578,Organization,https://api.github.com/users/twbs,https://github.com/twbs,https://github.com/twbs/bootstrap-sass,https://api.github.com/repos/twbs/bootstrap-sass,False,2011-09-06T18:58:49Z,2019-07-01T17:38:23Z,3175,12781,Ruby,True,False,3549,3549,4,12781,,,
5724990,User,https://api.github.com/users/briannesbitt,https://github.com/briannesbitt,https://github.com/briannesbitt/Carbon,https://api.github.com/repos/briannesbitt/Carbon,False,2012-09-08T02:56:20Z,2019-07-02T16:13:03Z,7799,12785,PHP,True,False,1067,1067,9,12785,,,
